code,name,parent (code),parent,database (code),database,created_at,updated_at,CAUSE,CORRECTION_CONSTRUCTEUR,OBSERVATIONS,OLS,PHOTO,PHOTO2,PHOTO3,PHOTO4,REPORT,RESERVE,RESULTAT_NOUVEAU_CONTROLE,TEXTE_CTRL,TITRE,description_clean,cluster,cluster_nom
b08c067d-5256-4234-a1a7-8349c0106ceb,-253408 - Enceinte voyageur - déchiré,aaf6b2ea-1df8-4bbf-8337-a7dccec5920b,-253408,anomalies_bus_15983455685628,Anomalies BUS,04/03/2025 09:49,04/03/2025 09:50,Déterioré,,/,,,,,,Non,,KO,-253408 - Enceinte voyageur - déchiré,,,4,porte manque les des dans gauche fixation siège niveau bouge
46ed7eb8-ea8f-487c-b776-04fc56826107,00000 - A - jdtyjdtjdtjt,1397_copy_16064752763126,00000,anomalies_bus_15983455685628,Anomalies BUS,06/12/2021 10:13,06/12/2021 10:13,Absent/Manque,,,,,,,,Non,,KO,00000 - A - jdtyjdtjdtjt,,,4,porte manque les des dans gauche fixation siège niveau bouge
d69ad0d8-4710-413c-b5de-e04e4cbb5e90,00000 - Enceinte voyageur - gugjg,1397_copy_16064752763126,00000,anomalies_bus_15983455685628,Anomalies BUS,09/04/2024 11:10,09/04/2024 11:10,Absent/Manque,,jgoohfiyfiyfu,12345678,,,,,Non,,KO,00000 - Enceinte voyageur - gugjg,,jgoohfiyfiyfu,4,porte manque les des dans gauche fixation siège niveau bouge
cb81daa0-c840-42ee-952c-db5b33517476,00000-C-INSCRIPTIONS REGLEMENTAIRES INTERIEURES-C01-Contrôle correspondance VIN et N°de Parc sur série-,1397_copy_16064752763126,00000,anomalies_bus_15983455685628,Anomalies BUS,09/04/2024 11:10,09/04/2024 11:10,Non conforme,,aaaaaaa,12345678,,,,,Non,,KO,00000-C-INSCRIPTIONS REGLEMENTAIRES INTERIEURES-C01-Contrôle correspondance VIN et N°de Parc sur série,C-INSCRIPTIONS REGLEMENTAIRES INTERIEURES,aaaaaaa,4,porte manque les des dans gauche fixation siège niveau bouge
31b41ff6-1180-4f1e-9e8e-5c2c403ec9bc,00000-PM-Contrôle des alimentations-PM01-Alimentation temporisée-,12345678-573,PM01-Alimentation temporisée,anomalies_bus_15983455685628,Anomalies BUS,04/04/2022 15:50,04/04/2022 15:50,Non conforme,,TEST 4,12345678,,,,,Non,,KO,00000-PM-Contrôle des alimentations-PM01-Alimentation temporisée,PM-Contrôle des alimentations,test 4,4,porte manque les des dans gauche fixation siège niveau bouge
18c682f7-ddb0-4617-89d5-be7999d186ab,00000-Q-DIVERS-Q01 -Divers-,12345678-577,Q01 -Divers,anomalies_bus_15983455685628,Anomalies BUS,04/04/2022 12:49,04/04/2022 12:49,Déterioré,,TEST PARENTALITE ANOMALIES,12345678,,,,,Non,,KO,00000-Q-DIVERS-Q01 -Divers,Q-DIVERS,test parentalite anomalies,4,porte manque les des dans gauche fixation siège niveau bouge
d6649849-ee3a-43f7-82ca-ecb7bdf91b03,00000-Q-DIVERS-Q01 -Divers-,12345678-577,Q01 -Divers,anomalies_bus_15983455685628,Anomalies BUS,04/04/2022 13:17,04/04/2022 13:17,Absent/Manque,,TEST3,12345678,,,,,Non,,KO,00000-Q-DIVERS-Q01 -Divers,Q-DIVERS,test3,4,porte manque les des dans gauche fixation siège niveau bouge
60bccf55-df49-45ba-b498-8ed624a6fc92,00000-Q-DIVERS-Q01 -Divers-,12345678-577,Q01 -Divers,anomalies_bus_15983455685628,Anomalies BUS,04/04/2022 12:55,04/04/2022 12:55,Déterioré,,TEST2,12345678,,,,,Non,,KO,00000-Q-DIVERS-Q01 -Divers,Q-DIVERS,test2,4,porte manque les des dans gauche fixation siège niveau bouge
cbe45235-a115-48ce-8610-38b5afcedb7a,"00000-R-REX-R01-Suivant REX en cours, version :-",12345678-579,"R01-Suivant REX en cours, version :",anomalies_bus_15983455685628,Anomalies BUS,04/04/2022 13:36,04/04/2022 13:36,Absent/Manque,,TEST_OLD,12345678,,,,,Non,,KO,"00000-R-REX-R01-Suivant REX en cours, version :",R-REX,test_old,4,porte manque les des dans gauche fixation siège niveau bouge
0a560c29-ca37-451a-9220-00999e2aebe8,"00000-R-REX-R01-Suivant REX en cours, version :-",1397_copy_16064752763126,00000,anomalies_bus_15983455685628,Anomalies BUS,05/04/2022 16:06,05/04/2022 16:06,Absent/Manque,,TEST 05/04,12345678,,,,,Non,,KO,"00000-R-REX-R01-Suivant REX en cours, version :",R-REX,test 0504,4,porte manque les des dans gauche fixation siège niveau bouge
fc646d64-e913-4266-a3b2-1cdcef081f7c,00004-B-INSCRIPTIONS REGLEMENTAIRES INTERIEURES-B02-plaque nombre de place-,00004,00004,anomalies_bus_15983455685628,Anomalies BUS,27/07/2022 08:28,27/07/2022 09:27,Défaut de fixation,,Adhésif se décolle à cause de la surface granuleuse du support ,CASACIT1,,,,,Non,,KO,00004-B-INSCRIPTIONS REGLEMENTAIRES INTERIEURES-B02-plaque nombre de place,B-INSCRIPTIONS REGLEMENTAIRES INTERIEURES,adhésif se décolle à cause de la surface granuleuse du support ,4,porte manque les des dans gauche fixation siège niveau bouge
