k,silhouette,calinski_harabasz,davies_bouldin
4,0.022740905103883834,161.37921821213703,1.5219610167759379
6,0.03002847103987041,254.30967170789458,1.9640092846090393
8,0.04562189056272074,385.7452589059143,1.7487462749987832
10,0.05983568337465603,444.6761977069835,1.8335294570088945
4,0.007826488999272298,184.1582068543544,9.279135418481552
6,0.009815669205382333,152.1369792644054,8.22698998099512
8,0.010893450616268186,157.65893679512382,6.879202344517512
10,0.010793845103157607,148.01995369478027,6.552704576890093
4,0.007826488999272298,184.1582068543544,9.279135418481552
6,0.009815669205382333,152.1369792644054,8.22698998099512
8,0.010893450616268186,157.65893679512382,6.879202344517512
10,0.010793845103157607,148.01995369478027,6.552704576890093
